fila,replica,semilla,tamanioPoblacion,probCruce,probMutacion,torneoK,elites,pesoGreedySolomon,fitnessExp,maletasNoRuteadas,usoVuelos,usoAeropuertos,duracionHoras,tiempoMs
14,10,51,5,0.85,0.25,2,2,0.4,63274.564305,0,4.109902,5.122496,5404.216667,3668
15,1,42,10,0.95,0.05,3,4,0.6,63354.467044,0,4.134158,5.142809,5407.750000,6422
15,2,43,10,0.95,0.05,3,4,0.6,63520.561772,0,4.156589,5.159306,5420.466667,2700
15,3,44,10,0.95,0.05,3,4,0.6,63564.176671,0,4.159158,5.161352,5424.366667,1130
15,4,45,10,0.95,0.05,3,4,0.6,63426.459418,0,4.126630,5.137996,5416.183333,7707
15,5,46,10,0.95,0.05,3,4,0.6,63524.429939,0,4.155662,5.159268,5420.950000,1229
15,6,47,10,0.95,0.05,3,4,0.6,63397.790054,0,4.139824,5.147132,5411.083333,3618
15,7,48,10,0.95,0.05,3,4,0.6,63413.311472,0,4.153113,5.156032,5410.416667,4404
15,8,49,10,0.95,0.05,3,4,0.6,63472.778418,0,4.147929,5.151849,5417.300000,3587
15,9,50,10,0.95,0.05,3,4,0.6,63564.176671,0,4.159158,5.161352,5424.366667,1091
15,10,51,10,0.95,0.05,3,4,0.6,63542.129954,0,4.158256,5.161541,5422.233333,1382
16,1,42,15,0.7,0.25,3,4,0.4,62245.012330,0,4.039244,5.067601,5313.816667,13361
16,2,43,15,0.7,0.25,3,4,0.4,62044.421201,0,3.977006,5.021749,5304.566667,13310
16,3,44,15,0.7,0.25,3,4,0.4,62210.715095,0,4.001883,5.039999,5316.883333,49650
16,4,45,15,0.7,0.25,3,4,0.4,62165.895628,0,4.002296,5.038600,5312.500000,14330
16,5,46,15,0.7,0.25,3,4,0.4,62076.916641,0,3.998897,5.040686,5303.733333,13907
16,6,47,15,0.7,0.25,3,4,0.4,61914.383146,0,3.982112,5.026938,5290.533333,13480
16,7,48,15,0.7,0.25,3,4,0.4,62442.421990,0,4.024477,5.055778,5336.216667,13520
16,8,49,15,0.7,0.25,3,4,0.4,62046.134449,0,3.997529,5.036273,5301.233333,13306
16,9,50,15,0.7,0.25,3,4,0.4,62298.678790,0,3.995466,5.033046,5327.016667,13512
16,10,51,15,0.7,0.25,3,4,0.4,62119.921322,0,3.972610,5.018144,5312.916667,13532
17,1,42,15,0.85,0.05,5,1,0.6,63234.885262,0,4.107810,5.121408,5400.566667,17618
17,2,43,15,0.85,0.05,5,1,0.6,63138.452331,0,4.082177,5.100608,5395.566667,17622
17,3,44,15,0.85,0.05,5,1,0.6,62896.321061,0,4.080335,5.100486,5371.550000,17726
17,4,45,15,0.85,0.05,5,1,0.6,62989.023257,0,4.085596,5.103427,5380.000000,17861
17,5,46,15,0.85,0.05,5,1,0.6,63187.691805,0,4.108125,5.124733,5395.483333,17750
17,6,47,15,0.85,0.05,5,1,0.6,62989.646987,0,4.109334,5.123480,5375.683333,17601
17,7,48,15,0.85,0.05,5,1,0.6,63157.302448,0,4.111748,5.122721,5392.283333,17733
17,8,49,15,0.85,0.05,5,1,0.6,63004.676801,0,4.083370,5.106473,5381.483333,17783
17,9,50,15,0.85,0.05,5,1,0.6,63159.301009,0,4.096348,5.114120,5394.883333,17837
17,10,51,15,0.85,0.05,5,1,0.6,63189.310714,0,4.114804,5.128507,5394.600000,17691
18,1,42,15,0.95,0.15,2,2,0.8,62456.011980,0,4.035069,5.060943,5336.000000,16835
18,2,43,15,0.95,0.15,2,2,0.8,62247.914852,0,4.006009,5.040573,5320.133333,17171
18,3,44,15,0.95,0.15,2,2,0.8,62267.729360,0,4.024775,5.060454,5318.250000,17329
18,4,45,15,0.95,0.15,2,2,0.8,62428.126352,0,4.034538,5.070921,5332.266667,17100
18,5,46,15,0.95,0.15,2,2,0.8,62356.822889,0,4.016115,5.059208,5328.150000,17406
18,6,47,15,0.95,0.15,2,2,0.8,62777.033915,0,4.047831,5.076036,5365.316667,17290
18,7,48,15,0.95,0.15,2,2,0.8,62566.863911,0,4.035319,5.065879,5346.566667,17417
18,8,49,15,0.95,0.15,2,2,0.8,62656.729623,0,4.051748,5.077148,5352.783333,17532
18,9,50,15,0.95,0.15,2,2,0.8,62187.175763,0,4.021201,5.055475,5311.050000,17445
18,10,51,15,0.95,0.15,2,2,0.8,62791.547657,0,4.045633,5.080748,5366.516667,17775
